,Actual_Temperature,Predicted_Temperature
0,11.427777,7.990993
1,11.361109,11.9891
2,10.42222,11.907178
3,10.833334,10.653572
4,10.911113,12.079705
5,12.583334,11.999071
6,14.955557,13.269337
7,17.222221,15.784642
8,17.95,18.250427
9,20.094444,17.951822
10,22.155556,20.793568
11,20.305557,22.956694
12,21.205557,20.433058
13,21.22778,21.308933
14,21.211111,20.85348
15,21.083334,20.347082
16,17.238892,20.884876
17,14.327779,16.358475
18,12.66111,12.877075
19,13.055556,12.111995
20,12.049999,13.328396
21,6.549999,12.055908
22,5.6055546,7.0715013
23,4.9277773,6.836579
24,3.7722223,6.299938
25,3.8444445,4.995949
26,4.0944448,5.382251
27,3.7499998,5.4577236
28,3.800001,5.103799
29,6.8888884,5.082246
30,9.838888,8.702498
31,12.1055565,12.226213
32,12.755557,13.785036
33,14.905556,13.851285
34,16.133333,16.153908
35,17.016665,17.544823
36,17.17778,17.256563
37,17.155558,17.025093
38,15.338888,17.533508
39,15.066667,14.6826
40,12.283335,14.438131
41,11.327779,12.243116
42,8.883332,11.482289
43,8.283333,8.829392
44,7.3666663,8.083691
45,9.844443,7.7819667
46,7.7111115,11.489302
47,11.388887,8.276923
48,7.883334,12.353163
49,6.8166666,8.100226
50,6.7055545,6.790577
51,6.144445,7.4022245
52,8.694446,7.400229
53,12.43889,9.915439
54,16.016666,14.023107
55,17.755556,17.76535
56,18.955555,19.356941
57,19.005556,20.186548
58,20.044447,19.899857
59,20.166664,20.382557
60,19.972223,19.972298
61,20.088886,19.564436
62,19.21111,19.696756
63,17.977776,18.802483
64,16.333334,17.167492
65,14.472223,15.235048
66,12.450002,13.873758
67,11.3944435,11.592068
68,10.266668,11.110341
69,9.788887,10.11796
70,11.761111,9.85919
71,7.3222227,13.120264
72,12.055555,7.0412173
73,9.394444,13.199203
74,6.916667,9.449939
75,5.6833344,6.6864796
76,7.3333325,5.9349847
77,11.005556,8.332423
78,12.849999,12.822379
79,13.961111,14.103381
80,15.038888,15.441845
81,15.183332,16.741581
82,16.250002,15.003887
83,16.405554,16.52112
84,17.383333,16.965902
85,17.844444,17.282734
86,17.844444,18.935978
87,17.894442,17.946009
88,15.205555,16.472748
89,14.511109,14.811922
90,11.183334,14.079105
91,10.972222,10.900855
92,9.055554,11.013018
93,6.233332,9.204697
94,5.65,6.1901984
95,7.777778,6.0408773
96,6.4833326,8.651193
97,5.4944444,7.06388
98,4.6777773,6.4334216
99,4.333334,6.3682914
100,6.9499993,5.5614476
101,11.727777,8.715245
102,14.955557,13.8041315
103,17.316668,17.472563
104,18.838886,19.815943
105,20.072222,20.48239
106,21.111109,20.937286
107,21.2,21.923939
108,22.244444,21.606684
109,22.288889,22.229113
110,22.200003,22.212408
111,22.244444,21.64207
112,19.994446,21.868618
113,16.399998,19.850866
114,12.338887,16.146019
115,10.672222,12.113721
116,10.816667,10.28888
117,9.933334,11.214733
118,8.772222,10.279516
119,9.116667,8.774914
120,7.250001,10.800482
121,6.672222,7.248577
122,7.3333325,6.2620068
123,7.1111107,7.9620776
124,9.733334,8.816936
125,12.572223,11.448609
126,16.11111,14.394123
127,18.866667,18.06087
128,20.1,21.154459
129,20.644444,21.512892
130,22.266666,20.273394
131,22.327776,22.40966
132,22.405556,22.499166
133,22.333334,22.16569
134,21.494444,22.513025
135,20.25,21.678555
136,17.977776,20.69976
137,16.372223,18.3076
138,13.91111,16.657833
139,13.244446,14.023386
140,10.88889,12.509782
141,8.472222,10.112566
142,8.4777775,8.188834
143,10.388889,9.010031
144,8.772222,11.019835
145,8.1,9.125096
146,7.6833334,7.8648405
147,7.0111117,7.913401
148,8.783334,8.186757
149,12.066667,9.805046
150,14.072221,13.837363
151,17.333332,15.716237
152,18.033333,18.317726
153,20.138887,19.081018
154,21.250002,21.087341
155,21.377775,22.119993
156,22.311111,22.065605
157,22.311111,22.914478
158,21.41111,22.981024
159,21.272224,21.934698
160,18.027777,21.868713
161,15.427779,18.25125
162,11.316668,15.576392
163,9.5611105,10.604616
164,8.972223,8.886345
165,10.42222,8.806014
166,9.36111,10.261381
167,9.544444,10.002552
168,10.394445,10.949245
169,9.377777,10.44169
170,6.1388893,8.881503
171,5.1555552,6.0682383
172,7.8500004,5.7644215
173,12.583334,8.775229
174,15.116668,14.675852
175,16.288889,17.009123
176,17.877777,17.537199
177,19.005556,19.318007
178,19.116667,20.278072
179,20.111109,20.332417
180,20.155554,20.755354
181,20.138887,21.034456
182,20.216667,21.02684
183,19.06667,20.428839
184,17.866667,18.427488
185,15.261112,17.201365
186,13.844445,14.558984
187,13.244446,13.512881
188,12.244445,12.606237
189,11.733333,11.675874
190,10.57778,11.193489
191,3.4944437,10.068404
192,7.8611116,2.291255
193,7.172221,8.206447
194,5.666667,8.357192
195,5.0166664,6.016736
196,6.0833325,6.4143887
197,8.005556,7.37539
198,11.316668,8.989878
199,14.072221,12.786404
200,16.077776,15.264938
201,17.266666,17.50319
202,17.333332,18.594786
203,17.383333,17.172407
204,17.355555,17.100365
205,17.377777,17.526707
206,17.4,17.43028
207,16.266666,17.112816
208,14.066666,16.096989
209,12.427778,13.68396
210,7.355555,12.075611
211,6.6666665,6.4350386
212,6.1500006,5.5425363
213,3.961112,6.322442
214,4.3777776,4.2071185
215,7.522222,4.540605
216,2.733333,9.155576
217,2.2722223,3.73724
218,1.7500006,2.6090348
219,2.2277784,2.9882433
220,3.944445,3.9778638
221,8.927777,5.419174
222,12.900001,11.757969
223,16.161112,15.7104645
